hit_id,x,y,z,volume_id,layer_id,module_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight,pt
16946,-31.1444,-7.68151,-284.714,8,1,33,517919111108362240,-31.1442,-7.68192,-284.727,-1.36366,-0.326073,-12.1436,0.0,1.4021027
16948,-29.6523,-11.9489,-318.985,8,1,33,734096841024471040,-29.655,-11.9413,-319.001,-0.926387,-0.362387,-9.85345,2.08227e-05,0.99474484
16951,-24.6589,-20.3309,-315.132,8,1,34,355784439281745920,-24.6597,-20.3301,-315.133,-2.58526,-2.14629,-32.9715,7.39449e-05,3.360079
16961,-21.7876,-24.9498,-315.736,8,1,35,63053762037547008,-21.7857,-24.9507,-315.737,-0.63195,-0.708308,-9.0284,0.0,0.94924235
16969,-21.0607,-25.3001,-303.201,8,1,35,153128572083503104,-21.0593,-25.3008,-303.211,-0.505517,-0.593231,-7.21068,1.96022e-05,0.7794039
16971,-0.557692,-31.9538,-311.788,8,1,36,657528775411499008,-0.550145,-31.9542,-311.806,-0.0272858,-2.18385,-21.0821,3.72667e-05,2.1840205
16977,-4.84176,-31.7121,-321.638,8,1,36,364807444016136192,-4.84508,-31.7119,-321.631,-0.168547,-1.16515,-11.3806,2.59592e-05,1.1772777
16981,-4.24797,-31.7456,-296.724,8,1,36,166643287975788544,-4.24948,-31.7455,-296.715,-0.112041,-0.767037,-7.12755,1.45075e-05,0.77517664
16987,10.3512,-30.211,-315.857,8,1,37,671050431970934784,10.3546,-30.2098,-315.845,0.373603,-1.11945,-11.5831,2.24598e-05,1.1801472
16989,3.94996,-32.4491,-285.31,8,1,37,418840194184118272,3.94964,-32.4492,-285.326,0.128145,-0.966358,-8.63704,1.65992e-05,0.9748174
17001,26.8878,-17.7659,-294.139,8,1,39,873707948436619264,26.8876,-17.7662,-294.147,3.78661,-2.48747,-41.6299,0.0,4.5305543
17003,27.3535,-16.7994,-300.212,8,1,39,225186440999337984,27.354,-16.7984,-300.205,1.41705,-0.880007,-15.3196,3.89048e-05,1.6680657
17008,26.6841,-18.1886,-312.268,8,1,39,153138055371292672,26.6838,-18.1892,-312.259,0.781637,-0.521376,-9.13332,0.0,0.9395687
17012,26.1617,-19.2727,-287.265,8,1,39,130606175900139520,26.1617,-19.2727,-287.26,1.28491,-0.936346,-14.1926,3.18673e-05,1.589886
17019,31.996,0.191118,-306.577,8,1,40,306248966549274624,31.9953,0.178176,-306.592,1.2121,0.0170221,-11.9598,2.30268e-05,1.2122196
17029,30.0319,10.8634,-303.041,8,1,41,301754437892833280,30.03,10.8689,-303.051,0.730797,0.274493,-7.17457,1.806e-05,0.7806476
17038,29.6193,12.0433,-319.279,8,1,41,752103336794128384,29.6238,12.0305,-319.272,0.758082,0.318374,-7.99982,2.24194e-05,0.82222277
17048,22.2896,22.9835,-303.951,8,1,42,54047181258096640,22.281,22.9931,-303.944,0.531304,0.56127,-7.37535,1.54628e-05,0.772857
