hit_id,x,y,z,volume_id,layer_id,module_id,particle_id
16874,-32.554401,-3.648710,-469.864990,8,1,1,824163129872097282
16877,-12.034100,-29.649799,-464.428009,8,1,3,220687857910562818
16878,-15.127200,-28.159300,-439.713989,8,1,3,824170895156183040
16881,0.269687,-32.000401,-424.144012,8,1,4,112599405269360642
16882,-0.905279,-34.146599,-425.175995,8,1,5,112599405269360642
16883,19.404900,-25.486000,-480.153015,8,1,6,418837445421830145
16884,28.957800,-13.470300,-452.667999,8,1,7,878207081314783233
16888,29.698700,11.816200,-435.097992,8,1,9,864696076274245634
16890,21.249500,24.148001,-485.528015,8,1,10,211680177619472385
16892,22.489599,24.611500,-485.998993,8,1,11,211680177619472385
16893,-4.866470,32.128601,-438.485992,8,1,13,954763670775140353
16894,-3.026930,32.771801,-424.795013,8,1,13,810658240864980993
16895,-9.436160,30.530899,-420.054993,8,1,13,301761790893625345
16896,-4.335470,32.314301,-439.015991,8,1,13,117109052193898496
16901,-31.529200,8.084200,-484.898010,8,1,16,171140359252869120
16902,-30.481100,-8.078560,-374.045990,8,1,17,364801465438445570
16903,-29.970600,-9.538670,-406.507996,8,1,17,873704375040610305
16904,-29.936300,-9.636610,-375.127991,8,1,17,364801465438449666
16905,-25.798599,-18.311701,-364.154999,8,1,18,495401456585678850
16906,-4.379470,-31.242300,-375.931000,8,1,20,153137711790690305
16910,12.804200,-28.828800,-370.856995,8,1,21,364801465438441473
16911,14.129100,-29.534500,-370.509003,8,1,22,364801465438441473
16912,23.021299,-21.591900,-392.766998,8,1,22,369301079319379968
16913,19.424101,-24.805000,-382.226990,8,1,22,63077332818067456
16914,14.714800,-29.011400,-391.914001,8,1,22,873704375040618498
16915,29.405899,-11.399800,-401.763000,8,1,23,112599405269356545
16916,28.257299,-13.783300,-414.988007,8,1,23,58548925476376577
16918,30.865999,-11.051000,-400.690002,8,1,24,112599405269356545
16919,31.209900,-4.953000,-355.386993,8,1,24,369301010599903232
16920,31.208500,-4.979100,-394.061005,8,1,24,905224762068832257
16921,31.231100,-4.577450,-398.622986,8,1,24,418836345910202369
16922,31.347700,5.599890,-374.529999,8,1,25,45037645557927937
16925,25.269199,18.904400,-377.265991,8,1,26,873704375040614402
16930,-9.142340,30.109100,-420.303009,8,1,29,301761790893625345
16931,-4.912440,31.588100,-401.674988,8,1,29,824163129872093185
16932,-18.809500,25.353901,-397.157990,8,1,30,4513701407236098
16933,-15.629200,28.194599,-385.540009,8,1,30,878207081314787330
16934,-15.218100,28.561800,-356.066010,8,1,30,598982873625665538
16935,-24.859900,20.833599,-365.509003,8,1,31,292739748231909377
16936,-24.819700,20.917000,-352.561005,8,1,31,211679352985759746
16937,-30.967501,9.251340,-362.351013,8,1,32,211679352985751553
16938,-31.227200,-7.444690,-282.063995,8,1,33,860191583276892160
16939,-30.750601,-8.807840,-291.778015,8,1,33,855686265662603264
16940,-30.996700,-8.103820,-313.433014,8,1,33,103589732096671744
16941,-31.995701,-5.246770,-286.072998,8,1,33,301752788642172929
16942,-31.768101,-5.897500,-287.205994,8,1,33,396317660578582529
16943,-29.078199,-13.591200,-325.204987,8,1,33,495401456585674753
16944,-31.268200,-7.327330,-318.931000,8,1,33,635010777274646528
16945,-29.940500,-11.124800,-315.610992,8,1,33,927744615614775296
16946,-31.144400,-7.681510,-284.713989,8,1,33,517919111108362240
16948,-29.652300,-11.948900,-318.984985,8,1,33,734096841024471040
16949,-31.469500,-6.751520,-295.097992,8,1,33,229685436421767168
16950,-30.955999,-8.220270,-320.613007,8,1,33,968291374631747584
16951,-24.658899,-20.330900,-315.131989,8,1,34,355784439281745920
16952,-32.259998,-11.821000,-291.614014,8,1,34,99081184666976256
16953,-31.217400,-12.988300,-282.322998,8,1,34,54052816255188992
16954,-30.252300,-14.068800,-280.463989,8,1,34,517919111125143553
16955,-28.417999,-16.122400,-302.596008,8,1,34,657534066811207680
16956,-22.452299,-22.801300,-293.420013,8,1,34,220697822234677249
16957,-30.216200,-14.109200,-287.934998,8,1,34,648528035787571200
16958,-29.792299,-14.583700,-283.365997,8,1,34,797138577153589248
16960,-18.979300,-26.302999,-300.718994,8,1,35,301759866731495424
16961,-21.787600,-24.949800,-315.735992,8,1,35,63053762037547008
16962,-10.491300,-30.393299,-307.544006,8,1,35,63061458618941440
16964,-14.278600,-28.568199,-281.136993,8,1,35,220700296119058432
16965,-11.617300,-29.850700,-312.729004,8,1,35,450360031456526336
16966,-13.734400,-28.830500,-312.515991,8,1,35,842175672938921984
16967,-19.512899,-26.045900,-299.914001,8,1,35,225182798867070976
16968,-17.512800,-27.009701,-311.778015,8,1,35,220679955153944576
16969,-21.060699,-25.300100,-303.200989,8,1,35,153128572083503104
16970,-24.474600,-23.655001,-294.298004,8,1,35,499901688941903872
16971,-0.557692,-31.953800,-311.787994,8,1,36,657528775411499008
16972,-3.862900,-31.767300,-288.612000,8,1,36,360290169212895232
16973,-4.225490,-31.746901,-325.997009,8,1,36,598982873625661441
16974,-10.320100,-31.403099,-307.174011,8,1,36,662034367903694848
16975,-10.835900,-31.374001,-317.498993,8,1,36,63061458618941440
16976,-8.909110,-31.482700,-301.368011,8,1,36,671040948683145216
16977,-4.841760,-31.712099,-321.638000,8,1,36,364807444016136192
16978,-14.049300,-31.192699,-314.962006,8,1,36,842175672955703297
16979,-7.568470,-31.558300,-310.947998,8,1,36,954766488256905216
16980,-10.615800,-31.386400,-294.066986,8,1,36,306245599294914560
16981,-4.247970,-31.745600,-296.723999,8,1,36,166643287975788544
16982,-2.767790,-31.829100,-316.645996,8,1,36,63067986969231360
16983,5.677170,-31.845200,-291.053986,8,1,37,369296337675485184
16984,14.072900,-28.909700,-293.585999,8,1,37,364802839811194880
16985,4.199560,-32.361801,-316.739990,8,1,37,409829421516587008
